summary_path,method,raw_method,task,split,n,accuracy,model,adapter,input,density,seed,lambda_med,lambda_legal
results/raw_merged/base_casehold_test.summary.json,Base,base,casehold,test,3600,0.5602777777777778,Qwen/Qwen2.5-1.5B-Instruct,,data/processed/casehold_test.jsonl,,,,
results/raw_merged/base_casehold_val.summary.json,Base,base,casehold,val,3900,0.5535897435897436,Qwen/Qwen2.5-1.5B-Instruct,,data/processed/casehold_val.jsonl,,,,
results/raw_merged/base_medmcqa_test.summary.json,Base,base,medmcqa,test,2092,0.4273422562141491,Qwen/Qwen2.5-1.5B-Instruct,,data/processed/medmcqa_test.jsonl,,,,
results/raw_merged/base_medmcqa_val.summary.json,Base,base,medmcqa,val,2091,0.4414155906264945,Qwen/Qwen2.5-1.5B-Instruct,,data/processed/medmcqa_val.jsonl,,,,
results/raw_merged/full_dare_ties_d0p2_s42_casehold_test.summary.json,DARE_TIES d=0.2,dare_ties,casehold,test,3600,0.2038888888888889,merged/full_dare_ties_d0p2_s42,,data/processed/casehold_test.jsonl,0.2,42.0,,
results/raw_merged/full_dare_ties_d0p2_s42_casehold_val.summary.json,DARE_TIES d=0.2,dare_ties,casehold,val,3900,0.20205128205128206,merged/full_dare_ties_d0p2_s42,,data/processed/casehold_val.jsonl,0.2,42.0,,
results/raw_merged/full_dare_ties_d0p2_s42_medmcqa_test.summary.json,DARE_TIES d=0.2,dare_ties,medmcqa,test,2092,0.27007648183556404,merged/full_dare_ties_d0p2_s42,,data/processed/medmcqa_test.jsonl,0.2,42.0,,
results/raw_merged/full_dare_ties_d0p2_s42_medmcqa_val.summary.json,DARE_TIES d=0.2,dare_ties,medmcqa,val,2091,0.266857962697274,merged/full_dare_ties_d0p2_s42,,data/processed/medmcqa_val.jsonl,0.2,42.0,,
results/raw_merged/full_dare_ties_d0p2_s43_casehold_test.summary.json,DARE_TIES d=0.2,dare_ties,casehold,test,3600,0.19527777777777777,merged/full_dare_ties_d0p2_s43,,data/processed/casehold_test.jsonl,0.2,43.0,,
results/raw_merged/full_dare_ties_d0p2_s43_casehold_val.summary.json,DARE_TIES d=0.2,dare_ties,casehold,val,3900,0.20871794871794871,merged/full_dare_ties_d0p2_s43,,data/processed/casehold_val.jsonl,0.2,43.0,,
results/raw_merged/full_dare_ties_d0p2_s43_medmcqa_test.summary.json,DARE_TIES d=0.2,dare_ties,medmcqa,test,2092,0.27246653919694075,merged/full_dare_ties_d0p2_s43,,data/processed/medmcqa_test.jsonl,0.2,43.0,,
results/raw_merged/full_dare_ties_d0p2_s43_medmcqa_val.summary.json,DARE_TIES d=0.2,dare_ties,medmcqa,val,2091,0.2716403634624582,merged/full_dare_ties_d0p2_s43,,data/processed/medmcqa_val.jsonl,0.2,43.0,,
results/raw_merged/full_dare_ties_d0p2_s44_casehold_test.summary.json,DARE_TIES d=0.2,dare_ties,casehold,test,3600,0.20333333333333334,merged/full_dare_ties_d0p2_s44,,data/processed/casehold_test.jsonl,0.2,44.0,,
results/raw_merged/full_dare_ties_d0p2_s44_casehold_val.summary.json,DARE_TIES d=0.2,dare_ties,casehold,val,3900,0.2023076923076923,merged/full_dare_ties_d0p2_s44,,data/processed/casehold_val.jsonl,0.2,44.0,,
results/raw_merged/full_dare_ties_d0p2_s44_medmcqa_test.summary.json,DARE_TIES d=0.2,dare_ties,medmcqa,test,2092,0.25621414913957935,merged/full_dare_ties_d0p2_s44,,data/processed/medmcqa_test.jsonl,0.2,44.0,,
results/raw_merged/full_dare_ties_d0p2_s44_medmcqa_val.summary.json,DARE_TIES d=0.2,dare_ties,medmcqa,val,2091,0.2601626016260163,merged/full_dare_ties_d0p2_s44,,data/processed/medmcqa_val.jsonl,0.2,44.0,,
results/raw_merged/full_dare_ties_d0p4_s42_casehold_test.summary.json,DARE_TIES d=0.4,dare_ties,casehold,test,3600,0.6711111111111111,merged/full_dare_ties_d0p4_s42,,data/processed/casehold_test.jsonl,0.4,42.0,,
results/raw_merged/full_dare_ties_d0p4_s42_casehold_val.summary.json,DARE_TIES d=0.4,dare_ties,casehold,val,3900,0.6856410256410257,merged/full_dare_ties_d0p4_s42,,data/processed/casehold_val.jsonl,0.4,42.0,,
results/raw_merged/full_dare_ties_d0p4_s42_medmcqa_test.summary.json,DARE_TIES d=0.4,dare_ties,medmcqa,test,2092,0.3704588910133843,merged/full_dare_ties_d0p4_s42,,data/processed/medmcqa_test.jsonl,0.4,42.0,,
results/raw_merged/full_dare_ties_d0p4_s42_medmcqa_val.summary.json,DARE_TIES d=0.4,dare_ties,medmcqa,val,2091,0.38115734098517456,merged/full_dare_ties_d0p4_s42,,data/processed/medmcqa_val.jsonl,0.4,42.0,,
results/raw_merged/full_dare_ties_d0p4_s43_casehold_test.summary.json,DARE_TIES d=0.4,dare_ties,casehold,test,3600,0.6480555555555556,merged/full_dare_ties_d0p4_s43,,data/processed/casehold_test.jsonl,0.4,43.0,,
results/raw_merged/full_dare_ties_d0p4_s43_casehold_val.summary.json,DARE_TIES d=0.4,dare_ties,casehold,val,3900,0.6671794871794872,merged/full_dare_ties_d0p4_s43,,data/processed/casehold_val.jsonl,0.4,43.0,,
results/raw_merged/full_dare_ties_d0p4_s43_medmcqa_test.summary.json,DARE_TIES d=0.4,dare_ties,medmcqa,test,2092,0.382887189292543,merged/full_dare_ties_d0p4_s43,,data/processed/medmcqa_test.jsonl,0.4,43.0,,
results/raw_merged/full_dare_ties_d0p4_s43_medmcqa_val.summary.json,DARE_TIES d=0.4,dare_ties,medmcqa,val,2091,0.359636537541846,merged/full_dare_ties_d0p4_s43,,data/processed/medmcqa_val.jsonl,0.4,43.0,,
results/raw_merged/full_dare_ties_d0p4_s44_casehold_test.summary.json,DARE_TIES d=0.4,dare_ties,casehold,test,3600,0.6386111111111111,merged/full_dare_ties_d0p4_s44,,data/processed/casehold_test.jsonl,0.4,44.0,,
results/raw_merged/full_dare_ties_d0p4_s44_casehold_val.summary.json,DARE_TIES d=0.4,dare_ties,casehold,val,3900,0.6469230769230769,merged/full_dare_ties_d0p4_s44,,data/processed/casehold_val.jsonl,0.4,44.0,,
results/raw_merged/full_dare_ties_d0p4_s44_medmcqa_test.summary.json,DARE_TIES d=0.4,dare_ties,medmcqa,test,2092,0.39627151051625237,merged/full_dare_ties_d0p4_s44,,data/processed/medmcqa_test.jsonl,0.4,44.0,,
results/raw_merged/full_dare_ties_d0p4_s44_medmcqa_val.summary.json,DARE_TIES d=0.4,dare_ties,medmcqa,val,2091,0.39741750358680056,merged/full_dare_ties_d0p4_s44,,data/processed/medmcqa_val.jsonl,0.4,44.0,,
results/raw_merged/full_dare_ties_d0p6_s42_casehold_test.summary.json,DARE_TIES d=0.6,dare_ties,casehold,test,3600,0.7347222222222223,merged/full_dare_ties_d0p6_s42,,data/processed/casehold_test.jsonl,0.6,42.0,,
results/raw_merged/full_dare_ties_d0p6_s42_casehold_val.summary.json,DARE_TIES d=0.6,dare_ties,casehold,val,3900,0.7466666666666667,merged/full_dare_ties_d0p6_s42,,data/processed/casehold_val.jsonl,0.6,42.0,,
results/raw_merged/full_dare_ties_d0p6_s42_medmcqa_test.summary.json,DARE_TIES d=0.6,dare_ties,medmcqa,test,2092,0.5023900573613767,merged/full_dare_ties_d0p6_s42,,data/processed/medmcqa_test.jsonl,0.6,42.0,,
results/raw_merged/full_dare_ties_d0p6_s42_medmcqa_val.summary.json,DARE_TIES d=0.6,dare_ties,medmcqa,val,2091,0.5131516021042564,merged/full_dare_ties_d0p6_s42,,data/processed/medmcqa_val.jsonl,0.6,42.0,,
results/raw_merged/full_dare_ties_d0p6_s43_casehold_test.summary.json,DARE_TIES d=0.6,dare_ties,casehold,test,3600,0.7336111111111111,merged/full_dare_ties_d0p6_s43,,data/processed/casehold_test.jsonl,0.6,43.0,,
results/raw_merged/full_dare_ties_d0p6_s43_casehold_val.summary.json,DARE_TIES d=0.6,dare_ties,casehold,val,3900,0.7369230769230769,merged/full_dare_ties_d0p6_s43,,data/processed/casehold_val.jsonl,0.6,43.0,,
results/raw_merged/full_dare_ties_d0p6_s43_medmcqa_test.summary.json,DARE_TIES d=0.6,dare_ties,medmcqa,test,2092,0.5,merged/full_dare_ties_d0p6_s43,,data/processed/medmcqa_test.jsonl,0.6,43.0,,
results/raw_merged/full_dare_ties_d0p6_s43_medmcqa_val.summary.json,DARE_TIES d=0.6,dare_ties,medmcqa,val,2091,0.5088474414155906,merged/full_dare_ties_d0p6_s43,,data/processed/medmcqa_val.jsonl,0.6,43.0,,
results/raw_merged/full_dare_ties_d0p6_s44_casehold_test.summary.json,DARE_TIES d=0.6,dare_ties,casehold,test,3600,0.7455555555555555,merged/full_dare_ties_d0p6_s44,,data/processed/casehold_test.jsonl,0.6,44.0,,
results/raw_merged/full_dare_ties_d0p6_s44_casehold_val.summary.json,DARE_TIES d=0.6,dare_ties,casehold,val,3900,0.7615384615384615,merged/full_dare_ties_d0p6_s44,,data/processed/casehold_val.jsonl,0.6,44.0,,
results/raw_merged/full_dare_ties_d0p6_s44_medmcqa_test.summary.json,DARE_TIES d=0.6,dare_ties,medmcqa,test,2092,0.5071701720841301,merged/full_dare_ties_d0p6_s44,,data/processed/medmcqa_test.jsonl,0.6,44.0,,
results/raw_merged/full_dare_ties_d0p6_s44_medmcqa_val.summary.json,DARE_TIES d=0.6,dare_ties,medmcqa,val,2091,0.5217599234815877,merged/full_dare_ties_d0p6_s44,,data/processed/medmcqa_val.jsonl,0.6,44.0,,
results/raw_merged/full_knots_ties_d04_r16_casehold_test.summary.json,KnOTS-TIES d=0.4,knots_ties_lora_svd,casehold,test,3600,0.7347222222222223,merged/full_knots_ties_d04_r16,,data/processed/casehold_test.jsonl,0.4,,,
results/raw_merged/full_knots_ties_d04_r16_casehold_val.summary.json,KnOTS-TIES d=0.4,knots_ties_lora_svd,casehold,val,3900,0.7566666666666667,merged/full_knots_ties_d04_r16,,data/processed/casehold_val.jsonl,0.4,,,
results/raw_merged/full_knots_ties_d04_r16_medmcqa_test.summary.json,KnOTS-TIES d=0.4,knots_ties_lora_svd,medmcqa,test,2092,0.5387189292543021,merged/full_knots_ties_d04_r16,,data/processed/medmcqa_test.jsonl,0.4,,,
results/raw_merged/full_knots_ties_d04_r16_medmcqa_val.summary.json,KnOTS-TIES d=0.4,knots_ties_lora_svd,medmcqa,val,2091,0.5523672883787661,merged/full_knots_ties_d04_r16,,data/processed/medmcqa_val.jsonl,0.4,,,
results/raw_merged/full_task_arithmetic_m0p5_l0p5_casehold_test.summary.json,"Task Arithmetic [0.5, 0.5]",task_arithmetic,casehold,test,3600,0.7936111111111112,merged/full_task_arithmetic_m0p5_l0p5,,data/processed/casehold_test.jsonl,,,0.5,0.5
results/raw_merged/full_task_arithmetic_m0p5_l0p5_casehold_val.summary.json,"Task Arithmetic [0.5, 0.5]",task_arithmetic,casehold,val,3900,0.8161538461538461,merged/full_task_arithmetic_m0p5_l0p5,,data/processed/casehold_val.jsonl,,,0.5,0.5
results/raw_merged/full_task_arithmetic_m0p5_l0p5_medmcqa_test.summary.json,"Task Arithmetic [0.5, 0.5]",task_arithmetic,medmcqa,test,2092,0.5320267686424475,merged/full_task_arithmetic_m0p5_l0p5,,data/processed/medmcqa_test.jsonl,,,0.5,0.5
results/raw_merged/full_task_arithmetic_m0p5_l0p5_medmcqa_val.summary.json,"Task Arithmetic [0.5, 0.5]",task_arithmetic,medmcqa,val,2091,0.5542802486848398,merged/full_task_arithmetic_m0p5_l0p5,,data/processed/medmcqa_val.jsonl,,,0.5,0.5
results/raw_merged/full_task_arithmetic_m0p7_l0p7_casehold_test.summary.json,"Task Arithmetic [0.7, 0.7]",task_arithmetic,casehold,test,3600,0.8186111111111111,merged/full_task_arithmetic_m0p7_l0p7,,data/processed/casehold_test.jsonl,,,0.7,0.7
results/raw_merged/full_task_arithmetic_m0p7_l0p7_casehold_val.summary.json,"Task Arithmetic [0.7, 0.7]",task_arithmetic,casehold,val,3900,0.8412820512820512,merged/full_task_arithmetic_m0p7_l0p7,,data/processed/casehold_val.jsonl,,,0.7,0.7
results/raw_merged/full_task_arithmetic_m0p7_l0p7_medmcqa_test.summary.json,"Task Arithmetic [0.7, 0.7]",task_arithmetic,medmcqa,test,2092,0.5368068833652008,merged/full_task_arithmetic_m0p7_l0p7,,data/processed/medmcqa_test.jsonl,,,0.7,0.7
results/raw_merged/full_task_arithmetic_m0p7_l0p7_medmcqa_val.summary.json,"Task Arithmetic [0.7, 0.7]",task_arithmetic,medmcqa,val,2091,0.5490196078431373,merged/full_task_arithmetic_m0p7_l0p7,,data/processed/medmcqa_val.jsonl,,,0.7,0.7
results/raw_merged/full_task_arithmetic_m1p0_l1p0_casehold_test.summary.json,"Task Arithmetic [1.0, 1.0]",task_arithmetic,casehold,test,3600,0.8163888888888889,merged/full_task_arithmetic_m1p0_l1p0,,data/processed/casehold_test.jsonl,,,1.0,1.0
results/raw_merged/full_task_arithmetic_m1p0_l1p0_casehold_val.summary.json,"Task Arithmetic [1.0, 1.0]",task_arithmetic,casehold,val,3900,0.8402564102564103,merged/full_task_arithmetic_m1p0_l1p0,,data/processed/casehold_val.jsonl,,,1.0,1.0
results/raw_merged/full_task_arithmetic_m1p0_l1p0_medmcqa_test.summary.json,"Task Arithmetic [1.0, 1.0]",task_arithmetic,medmcqa,test,2092,0.5181644359464627,merged/full_task_arithmetic_m1p0_l1p0,,data/processed/medmcqa_test.jsonl,,,1.0,1.0
results/raw_merged/full_task_arithmetic_m1p0_l1p0_medmcqa_val.summary.json,"Task Arithmetic [1.0, 1.0]",task_arithmetic,medmcqa,val,2091,0.5279770444763271,merged/full_task_arithmetic_m1p0_l1p0,,data/processed/medmcqa_val.jsonl,,,1.0,1.0
results/raw_merged/full_task_arithmetic_m1p2_l1p2_casehold_test.summary.json,"Task Arithmetic [1.2, 1.2]",task_arithmetic,casehold,test,3600,0.7777777777777778,merged/full_task_arithmetic_m1p2_l1p2,,data/processed/casehold_test.jsonl,,,1.2,1.2
results/raw_merged/full_task_arithmetic_m1p2_l1p2_casehold_val.summary.json,"Task Arithmetic [1.2, 1.2]",task_arithmetic,casehold,val,3900,0.7907692307692308,merged/full_task_arithmetic_m1p2_l1p2,,data/processed/casehold_val.jsonl,,,1.2,1.2
results/raw_merged/full_task_arithmetic_m1p2_l1p2_medmcqa_test.summary.json,"Task Arithmetic [1.2, 1.2]",task_arithmetic,medmcqa,test,2092,0.49091778202676867,merged/full_task_arithmetic_m1p2_l1p2,,data/processed/medmcqa_test.jsonl,,,1.2,1.2
results/raw_merged/full_task_arithmetic_m1p2_l1p2_medmcqa_val.summary.json,"Task Arithmetic [1.2, 1.2]",task_arithmetic,medmcqa,val,2091,0.5102821616451458,merged/full_task_arithmetic_m1p2_l1p2,,data/processed/medmcqa_val.jsonl,,,1.2,1.2
results/raw_merged/full_ties_d0p2_casehold_test.summary.json,TIES d=0.2,ties,casehold,test,3600,0.7538888888888889,merged/full_ties_d0p2,,data/processed/casehold_test.jsonl,0.2,42.0,,
results/raw_merged/full_ties_d0p2_casehold_val.summary.json,TIES d=0.2,ties,casehold,val,3900,0.7707692307692308,merged/full_ties_d0p2,,data/processed/casehold_val.jsonl,0.2,42.0,,
results/raw_merged/full_ties_d0p2_medmcqa_test.summary.json,TIES d=0.2,ties,medmcqa,test,2092,0.5195984703632888,merged/full_ties_d0p2,,data/processed/medmcqa_test.jsonl,0.2,42.0,,
results/raw_merged/full_ties_d0p2_medmcqa_val.summary.json,TIES d=0.2,ties,medmcqa,val,2091,0.5351506456241033,merged/full_ties_d0p2,,data/processed/medmcqa_val.jsonl,0.2,42.0,,
results/raw_merged/full_ties_d0p4_casehold_test.summary.json,TIES d=0.4,ties,casehold,test,3600,0.7372222222222222,merged/full_ties_d0p4,,data/processed/casehold_test.jsonl,0.4,42.0,,
results/raw_merged/full_ties_d0p4_casehold_val.summary.json,TIES d=0.4,ties,casehold,val,3900,0.7633333333333333,merged/full_ties_d0p4,,data/processed/casehold_val.jsonl,0.4,42.0,,
results/raw_merged/full_ties_d0p4_medmcqa_test.summary.json,TIES d=0.4,ties,medmcqa,test,2092,0.5353728489483748,merged/full_ties_d0p4,,data/processed/medmcqa_test.jsonl,0.4,42.0,,
results/raw_merged/full_ties_d0p4_medmcqa_val.summary.json,TIES d=0.4,ties,medmcqa,val,2091,0.5667144906743186,merged/full_ties_d0p4,,data/processed/medmcqa_val.jsonl,0.4,42.0,,
results/raw_merged/full_ties_d0p6_casehold_test.summary.json,TIES d=0.6,ties,casehold,test,3600,0.7169444444444445,merged/full_ties_d0p6,,data/processed/casehold_test.jsonl,0.6,42.0,,
results/raw_merged/full_ties_d0p6_casehold_val.summary.json,TIES d=0.6,ties,casehold,val,3900,0.7356410256410256,merged/full_ties_d0p6,,data/processed/casehold_val.jsonl,0.6,42.0,,
results/raw_merged/full_ties_d0p6_medmcqa_test.summary.json,TIES d=0.6,ties,medmcqa,test,2092,0.5454110898661568,merged/full_ties_d0p6,,data/processed/medmcqa_test.jsonl,0.6,42.0,,
results/raw_merged/full_ties_d0p6_medmcqa_val.summary.json,TIES d=0.6,ties,medmcqa,val,2091,0.5609756097560976,merged/full_ties_d0p6,,data/processed/medmcqa_val.jsonl,0.6,42.0,,
results/raw_merged/full_ties_d0p8_casehold_test.summary.json,TIES d=0.8,ties,casehold,test,3600,0.7052777777777778,merged/full_ties_d0p8,,data/processed/casehold_test.jsonl,0.8,42.0,,
results/raw_merged/full_ties_d0p8_casehold_val.summary.json,TIES d=0.8,ties,casehold,val,3900,0.7228205128205129,merged/full_ties_d0p8,,data/processed/casehold_val.jsonl,0.8,42.0,,
results/raw_merged/full_ties_d0p8_medmcqa_test.summary.json,TIES d=0.8,ties,medmcqa,test,2092,0.5501912045889101,merged/full_ties_d0p8,,data/processed/medmcqa_test.jsonl,0.8,42.0,,
results/raw_merged/full_ties_d0p8_medmcqa_val.summary.json,TIES d=0.8,ties,medmcqa,val,2091,0.5624103299856528,merged/full_ties_d0p8,,data/processed/medmcqa_val.jsonl,0.8,42.0,,
results/raw_merged/legal_expert_casehold_test.summary.json,Legal Expert,adapter,casehold,test,3600,0.9127777777777778,Qwen/Qwen2.5-1.5B-Instruct,adapters/legal_lora_full,data/processed/casehold_test.jsonl,,,,
results/raw_merged/legal_expert_casehold_val.summary.json,Legal Expert,adapter,casehold,val,3900,0.9225641025641026,Qwen/Qwen2.5-1.5B-Instruct,adapters/legal_lora_full,data/processed/casehold_val.jsonl,,,,
results/raw_merged/legal_expert_medmcqa_test.summary.json,Legal Expert,adapter,medmcqa,test,2092,0.4058317399617591,Qwen/Qwen2.5-1.5B-Instruct,adapters/legal_lora_full,data/processed/medmcqa_test.jsonl,,,,
results/raw_merged/legal_expert_medmcqa_val.summary.json,Legal Expert,adapter,medmcqa,val,2091,0.4017216642754663,Qwen/Qwen2.5-1.5B-Instruct,adapters/legal_lora_full,data/processed/medmcqa_val.jsonl,,,,
results/raw_merged/medical_expert_casehold_test.summary.json,Medical Expert,adapter,casehold,test,3600,0.41305555555555556,Qwen/Qwen2.5-1.5B-Instruct,adapters/medical_lora_full,data/processed/casehold_test.jsonl,,,,
results/raw_merged/medical_expert_casehold_val.summary.json,Medical Expert,adapter,casehold,val,3900,0.4238461538461539,Qwen/Qwen2.5-1.5B-Instruct,adapters/medical_lora_full,data/processed/casehold_val.jsonl,,,,
results/raw_merged/medical_expert_medmcqa_test.summary.json,Medical Expert,adapter,medmcqa,test,2092,0.5602294455066922,Qwen/Qwen2.5-1.5B-Instruct,adapters/medical_lora_full,data/processed/medmcqa_test.jsonl,,,,
results/raw_merged/medical_expert_medmcqa_val.summary.json,Medical Expert,adapter,medmcqa,val,2091,0.5662362505978001,Qwen/Qwen2.5-1.5B-Instruct,adapters/medical_lora_full,data/processed/medmcqa_val.jsonl,,,,
